14:56:42.833 INFO  s.m.l.ScalametaLanguageServer - completion
14:56:42.988 INFO  s.m.l.ScalametaLanguageServer - completion
14:56:43.179 INFO  s.m.l.ScalametaLanguageServer - completion
14:56:44.981 INFO  s.m.l.ScalametaLanguageServer - completion
14:56:45.453 INFO  s.m.l.s.InMemorySymbolIndex - resolveName at Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala):37:28
14:56:45.956 ERROR l.c.LanguageServer$$anon$1 - Invalid Notification: List((,List(JsonValidationError(List(unknown method textDocument/willSave),WrappedArray())))) - Message: JsonRpcNotificationMessage(textDocument/willSave,ObjectParams({"textDocument":{"uri":"file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala"},"reason":1}))
14:56:45.969 DEBUG s.m.l.ScalametaLanguageServer - saveTextDocument TextDocumentIdentifier(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala)
14:56:47.481 INFO  s.m.l.p.DocumentHighlightProvider$ - Document highlight in Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala)
14:56:47.481 INFO  s.m.l.s.InMemorySymbolIndex - resolveName at Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala):38:37
14:56:47.748 INFO  s.m.l.p.DocumentHighlightProvider$ - Document highlight in Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala)
14:56:47.749 INFO  s.m.l.s.InMemorySymbolIndex - resolveName at Uri(file:///Users/clock/workSpace/Pharbers/micro-service-module/findBindTeacherStudentTimePaper/app/services/findBindTeacherStudentTimePaper.scala):49:52
14:59:14.172 INFO  s.m.l.ScalametaLanguageServer - Shutting down...
14:59:14.301 DEBUG s.m.l.ScalametaLanguageServer - exit
